SBS - nummer;SBS - beschijving;Genriek SBS nummer
11;Energiebedrijf aansluiting Autotunnel;9999
12;Aarding-, Bliksem- en Overspanningsbeveiliging;3
12;Aarding-, Bliksem- en Overspanningsbeveiliging;55
13;Laagspanningsverdeling;4
15;No-break installatie Autotunnel/Fietstunnel;6
15;No-break installatie Autotunnel/Fietstunnel;7
21;Verlichting verkeerstunnel;16
22;Verlichting perskanaal Autotunnel;17
31;Pompinstallatie hoofdkelder Autotunnel;2005
32;Pompinstallatie middenkelder Autotunnel;2005
36;Tunnelventilatie Autotunnel;28
37;Meting van luchtkwaliteit;29
38;Ventilatie kabelkanaal Autotunnel;28
41;Rijstrooksignalering Autotunnel;36
42;Verkeersdetectie Autotunnel;37
43;Hoogtedetectie Autotunnel;38
44;Afsluitboom Autotunnel;43
45;Verkeersregelinstallatie Autotunnel;36
46;Afsluithekken Autotunnel;93
51;Brandblusinstallatie in tunnel Autotunnel;56
53;Hulppostkasten Autotunnel;57
61; CCTV-video installatie Autotunnel;61
62;HF/C2000 installatie Autotunnel/Fietstunnel;62
63;Omroepinstallatie Autotunnel;64
64;Noodtelefooninstallatie Autotunnel;65
71;HVAC installatie Autotunnel;75
73;Licht- en krachtinstallatie;78
76;Waarschuwings- en ontruimingsinstallatie;80
82;Besturing en bewaking VTTI;83
83;Bediening en bewaking;83
85;Datatrtansmissie Autotunnel;85
86;Noodbediening Autotunnel;84
91;Vluchtdeuren en vluchttrappen Autotunnel;1042
92;Kabelgoten en kabelwegen;87
94;Vluchtwegen Autotunnel;34
94;Vluchtwegen Autotunnel;22
